label,flag_rate_pct,short_rate_pct,long_rate_pct,jaccard_vs_threat_m4,player_rate_spearman,mean_xp_flagged,mean_xp_other,mean_res_flagged,mean_prog_flagged,cohens_d_xp,cohens_d_res,cohens_d_prog
band_z · Balanced (45/35/20) · P92 per-band,7.5,7.5,7.502,0.7918,0.8993,0.7516,0.3177,0.2393,0.8215,2.671,3.128,1.746
band_z · Balanced (45/35/20) · P95 global,5.0,5.608,0.045,0.6767,0.8403,0.7577,0.3288,0.2545,0.8375,2.62,3.209,1.742
band_z · Balanced (45/35/20) · P95 per-band,5.0,5.0,5.001,0.6707,0.8371,0.7755,0.3278,0.2692,0.8535,2.747,3.466,1.791
band_z · Balanced (45/35/20) · P97 global,3.0,3.368,0.0,0.416,0.6986,0.7789,0.3369,0.2895,0.8691,2.663,3.632,1.79
band_z · Balanced (45/35/20) · P97 per-band,3.0,3.0,3.0,0.4106,0.6662,0.793,0.3365,0.3024,0.88,2.752,3.83,1.822
band_z · Balanced (45/35/20) · P90 score + progress≥P60,9.12,9.649,4.808,0.6606,0.8673,0.7147,0.3136,0.2123,0.8355,2.368,2.637,1.856
band_z · xP+residual only (50/50/0) · P90 global,10.0,10.754,3.849,0.685,0.8934,0.6936,0.312,0.2139,0.7179,2.2,2.828,1.448
band_z · xP+residual only (50/50/0) · P90 per-band,10.0,10.0,10.001,0.7112,0.9194,0.7135,0.3098,0.2214,0.7401,2.371,3.029,1.52
band_z · xP+residual only (50/50/0) · P92 global,7.5,8.263,1.279,0.7791,0.8992,0.7221,0.32,0.2323,0.7611,2.381,3.008,1.54
band_z · xP+residual only (50/50/0) · P92 per-band,7.5,7.5,7.502,0.8222,0.9249,0.7433,0.3183,0.2436,0.7846,2.564,3.263,1.618
band_z · xP+residual only (50/50/0) · P95 global,5.0,5.607,0.05,0.6712,0.8634,0.7498,0.3292,0.2583,0.8043,2.527,3.322,1.633
band_z · xP+residual only (50/50/0) · P95 per-band,5.0,5.0,5.001,0.6576,0.8324,0.7683,0.3282,0.2729,0.8223,2.665,3.581,1.688
band_z · xP+residual only (50/50/0) · P97 global,3.0,3.368,0.0,0.414,0.695,0.773,0.3371,0.2922,0.8451,2.608,3.715,1.715
band_z · xP+residual only (50/50/0) · P97 per-band,3.0,3.0,3.0,0.4048,0.6572,0.7864,0.3367,0.3057,0.8562,2.692,3.927,1.748
band_z · PCA band (0.31/0.51/0.17) · P90 global,10.0,10.57,5.351,0.7046,0.8894,0.6895,0.3125,0.2184,0.7481,2.107,2.954,1.547
band_z · PCA band (0.31/0.51/0.17) · P90 per-band,10.0,10.0,10.001,0.7154,0.909,0.7045,0.3108,0.2234,0.7629,2.231,3.103,1.596
band_z · PCA band (0.31/0.51/0.17) · P92 global,7.5,8.135,2.327,0.7854,0.9086,0.7155,0.3206,0.2376,0.7827,2.256,3.129,1.611
band_z · PCA band (0.31/0.51/0.17) · P92 per-band,7.5,7.5,7.502,0.8088,0.9095,0.7339,0.3191,0.2458,0.8009,2.409,3.336,1.671
band_z · PCA band (0.31/0.51/0.17) · P95 global,5.0,5.563,0.41,0.6501,0.8328,0.7406,0.3296,0.2628,0.8189,2.387,3.409,1.677
band_z · PCA band (0.31/0.51/0.17) · P95 per-band,5.0,5.0,5.001,0.6381,0.8179,0.7588,0.3287,0.2752,0.8335,2.527,3.656,1.723
band_z · PCA band (0.31/0.51/0.17) · P97 global,3.0,3.368,0.003,0.4109,0.6734,0.7649,0.3374,0.2943,0.8523,2.522,3.775,1.736
band_z · PCA band (0.31/0.51/0.17) · P97 per-band,3.0,3.0,3.0,0.4028,0.6638,0.7796,0.3369,0.3074,0.8629,2.623,3.984,1.768
band_z · PCA band (0.31/0.51/0.17) · P90 score + progress≥P60,8.916,9.354,5.351,0.6791,0.8476,0.7031,0.3156,0.2211,0.8331,2.159,2.859,1.843
band_z · Inv-var band (0.34/0.18/0.49) · P90 global,10.0,10.228,8.14,0.6196,0.8404,0.7214,0.3089,0.2017,0.8554,2.511,2.453,1.939
band_z · Inv-var band (0.34/0.18/0.49) · P90 per-band,10.0,10.0,10.001,0.6189,0.8482,0.7271,0.3083,0.2035,0.8584,2.562,2.498,1.949
band_z · Inv-var band (0.34/0.18/0.49) · P92 global,7.5,8.029,3.19,0.6992,0.8852,0.7407,0.3185,0.2234,0.8603,2.599,2.71,1.885
band_z · Inv-var band (0.34/0.18/0.49) · P92 per-band,7.5,7.5,7.502,0.6956,0.8736,0.7566,0.3172,0.2292,0.8701,2.738,2.848,1.917
band_z · Inv-var band (0.34/0.18/0.49) · P95 global,5.0,5.594,0.154,0.6332,0.8122,0.7626,0.3285,0.2466,0.8865,2.678,2.986,1.9
band_z · Inv-var band (0.34/0.18/0.49) · P95 per-band,5.0,5.0,5.001,0.6319,0.7943,0.7817,0.3275,0.2591,0.899,2.814,3.196,1.937
band_z · Inv-var band (0.34/0.18/0.49) · P97 global,3.0,3.368,0.0,0.4162,0.7042,0.7857,0.3367,0.281,0.9066,2.731,3.414,1.903
band_z · Inv-var band (0.34/0.18/0.49) · P97 per-band,3.0,3.0,3.0,0.4141,0.6762,0.7998,0.3363,0.2932,0.9163,2.816,3.604,1.93
band_z · Inv-var band (0.34/0.18/0.49) · P90 score + progress≥P60,9.814,10.019,8.14,0.6026,0.8273,0.7225,0.3097,0.2009,0.8673,2.505,2.421,1.982
